,rcdts,type,school_name,district,city,school_type,chronic_absenteeism,chronic_absenteeism_hispanic_or_latino,percent_ela_proficiency,percent_ela_proficiency_hispanic_or_latino,percent_math_proficiency,percent_math_proficiency_hispanic_or_latino,percent_science_proficiency,percent_science_proficiency_hispanic_or_latino,school_name_2,school_id,address,grade_cat,lat,long,geometry,commnty
337,1.50163E+14,School,Robinson Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,47.6,NA,25.9,NA,22.2,NA,NA,NA,Robinson,610256,4225 S LAKE PARK AVE,ES,41.81734933,-87.59906677,c(-87.5990667709746,OAKLAND
338,1.50163E+14,School,Rogers Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,24.8,29.5,40.4,28,30.3,16.1,57.3,49,Rogers,610147,7345 N WASHTENAW AVE,ES,42.01526505,-87.69718539,c(-87.69718539374,WEST RIDGE
339,1.50163E+14,School,Rudolph Elem Learning Center,City of Chicago SD 299,Chicago,ELEMENTARY,NA,NA,NA,NA,NA,NA,NA,NA,Rudolph,610308,1628 W WASHINGTON BLVD,ES,41.88390676,-87.66809131,c(-87.668091306907,NEAR WEST SIDE
340,1.50163E+14,School,Ruggles Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,46.5,NA,13.7,NA,3.8,NA,19.7,NA,Ruggles,610152,7831 S PRAIRIE AVE,ES,41.75194558,-87.61806645,c(-87.6180664473822,GREATER GRAND CROSSING
341,1.50163E+14,School,Ruiz Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,41.7,41.5,19.5,19.6,10.5,10.9,40.2,39.6,Ruiz,610125,2410 S LEAVITT ST,ES,41.84810094,-87.68074453,c(-87.6807445348192,LOWER WEST SIDE
342,1.50163E+14,School,Ryder Elem Math & Sci Spec School,City of Chicago SD 299,Chicago,ELEMENTARY,39.6,NA,12.8,NA,6.5,NA,26.2,NA,Ryder,610153,8716 S WALLACE ST,ES,41.73537939,-87.6388427,c(-87.6388427003404,AUBURN GRESHAM
343,1.50163E+14,School,STEM Magnet Academy Elem,City of Chicago SD 299,Chicago,ELEMENTARY,11.3,22.5,59.5,46.9,46.9,32,68.7,54.5,Stem,610548,1522 W FILLMORE ST,ES,41.86857588,-87.66496913,c(-87.6649691328297,NEAR WEST SIDE
344,1.50163E+14,School,Sabin Elem Magnet School,City of Chicago SD 299,Chicago,ELEMENTARY,50.8,50,10,9.3,6.3,5.7,13.8,14.5,Sabin,610342,2216 W HIRSCH ST,ES,41.90681581,-87.68304994,c(-87.6830499419104,WEST TOWN
345,1.50163E+14,School,Sadlowski Elementary School,City of Chicago SD 299,Chicago,ELEMENTARY,50.3,50.7,13,13.6,6.5,6.8,37.4,37,Sadlowski,610586,3930 E 105TH ST,ES,41.70485859,-87.52798508,c(-87.5279850771597,EAST SIDE
346,1.50163E+14,School,Salazar Elem Bilingual Center,City of Chicago SD 299,Chicago,ELEMENTARY,48.9,43.2,12.3,13,6.8,7.7,48.5,57.1,Salazar,610250,160 W WENDELL ST,ES,41.90141653,-87.63363243,c(-87.6336324338283,NEAR NORTH SIDE
347,1.50163E+14,School,Sandoval Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,34.2,33.5,18.4,18.8,19.6,19.7,40.9,40.8,Sandoval,610226,5534 S SAINT LOUIS AVE,ES,41.79234608,-87.71098733,c(-87.7109873318465,GAGE PARK
348,1.50163E+14,School,Saucedo Elem Scholastic Academy,City of Chicago SD 299,Chicago,ELEMENTARY,36.5,35.7,12.3,12.6,10.4,10.6,48,50.3,Saucedo,610017,2850 W 24TH BLVD,ES,41.84794072,-87.69731554,c(-87.6973155374104,SOUTH LAWNDALE
349,1.50163E+14,School,Sauganash Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,14.6,19.5,57.1,38.8,55.8,33.8,79.2,78.1,Sauganash,610155,6040 N KILPATRICK AVE,ES,41.99116925,-87.74595144,c(-87.7459514444323,FOREST GLEN
350,1.50163E+14,School,Sawyer Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,36.4,36.3,13.2,13,10.8,10.6,31.7,31.3,Sawyer,610157,5248 S SAWYER AVE,ES,41.7974982,-87.70500578,c(-87.7050057805379,GAGE PARK
351,1.50163E+14,School,Sayre Elem Language Academy,City of Chicago SD 299,Chicago,ELEMENTARY,41.3,43,17.8,17.5,9.7,13.3,39.7,36.6,Sayre,610158,1850 N NEWLAND AVE,ES,41.91415063,-87.79872071,c(-87.7987207051109,AUSTIN
352,1.50163E+14,School,Scammon Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,36,34.8,29.5,29.6,22,21.7,44.7,41.7,Scammon,610159,4201 W HENDERSON ST,ES,41.9416776,-87.73217878,c(-87.7321787776788,IRVING PARK
353,1.50163E+14,School,Schmid Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,43.4,NA,14.4,NA,6.7,NA,21.7,NA,Schmid,610178,9755 S GREENWOOD AVE,ES,41.71698887,-87.59693188,c(-87.5969318817757,PULLMAN
354,1.50163E+14,School,Schubert Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,39.9,39.3,8,8,5.6,5.9,22.7,23.6,Schubert,610165,2727 N LONG AVE,ES,41.93040332,-87.76119047,c(-87.7611904688155,BELMONT CRAGIN
355,1.50163E+14,School,Seward Elem Communication Arts Ac,City of Chicago SD 299,Chicago,ELEMENTARY,39.2,39.3,15.6,16.2,5.4,5.2,27.9,29.2,Seward,610167,4600 S HERMITAGE AVE,ES,41.81033324,-87.66877201,c(-87.6687720115163,NEW CITY
356,1.50163E+14,School,Sheridan Elem Math & Science Acad,City of Chicago SD 299,Chicago,ELEMENTARY,10,25,60.1,59.2,51.7,43.4,83.8,91.3,Sheridan,610081,533 W 27TH ST,ES,41.84440016,-87.64133981,c(-87.6413398057554,BRIDGEPORT
357,1.50163E+14,School,Sherman Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,47.3,51.9,2.3,4,1.5,4,4.3,NA,Sherman,610172,1000 W 52ND ST,ES,41.79976621,-87.65022145,c(-87.6502214456532,NEW CITY
358,1.50163E+14,School,Sherwood Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,30.9,NA,5.6,NA,4.9,NA,18.6,NA,Sherwood,610173,245 W 57TH ST,ES,41.79080024,-87.63227938,c(-87.6322793822905,ENGLEWOOD
359,1.50163E+14,School,Shields Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,45.2,45,19.9,19.4,18.1,16.9,NA,NA,Shields,610174,4250 S ROCKWELL ST,ES,41.81590949,-87.68964724,c(-87.6896472352398,BRIGHTON PARK
360,1.50163E+14,School,Shields Middle School,City of Chicago SD 299,Chicago,ELEMENTARY,38.1,37.4,13.2,13.2,6.8,7,40.2,40.2,Shields,610174,4250 S ROCKWELL ST,ES,41.81590949,-87.68964724,c(-87.6896472352398,BRIGHTON PARK
361,1.50163E+14,School,Shoesmith Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,42,NA,17.8,NA,8.6,NA,24.1,NA,Shoesmith,610175,1330 E 50TH ST,ES,41.80429402,-87.59390494,c(-87.5939049415999,KENWOOD
362,1.50163E+14,School,Shoop Math-Sci Tech Elem Academy,City of Chicago SD 299,Chicago,ELEMENTARY,30.1,NA,14.5,NA,3.9,NA,10.2,NA,Shoop,610176,11140 S BISHOP ST,ES,41.69091888,-87.65866905,c(-87.6586690520218,MORGAN PARK
363,1.50163E+14,School,Skinner Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,13.8,16.9,62.3,52.4,61.9,50,70.4,60,Skinner,610177,1260 W ADAMS ST,ES,41.87910254,-87.65941898,c(-87.659418976157,NEAR WEST SIDE
364,1.50163E+14,School,Skinner North Elem Sch,City of Chicago SD 299,Chicago,ELEMENTARY,13.2,NA,94,90.9,92.1,81.8,97.1,NA,Skinner,610177,1260 W ADAMS ST,ES,41.87910254,-87.65941898,c(-87.659418976157,NEAR WEST SIDE
365,1.50163E+14,School,Smith  W Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,16.3,NA,9.6,NA,3.2,NA,15.6,NA,Smith,609978,744 E 103RD ST,ES,41.70755762,-87.60466041,c(-87.6046604081799,PULLMAN
366,1.50163E+14,School,Smyser Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,34,38.2,28.7,26,17.7,14.2,50.3,48.2,Smyser,610179,4310 N MELVINA AVE,ES,41.95886804,-87.78197454,c(-87.781974537526,PORTAGE PARK
367,1.50163E+14,School,Smyth  J Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,46,62.5,6.6,8.3,1.7,16.7,12.5,NA,Smyth,610180,1059 W 13TH ST,ES,41.86535102,-87.65344503,c(-87.6534450266778,NEAR WEST SIDE
368,1.50163E+14,School,Solomon Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,30.9,51.9,47.2,33.3,41,18.5,59.4,20,Solomon,610182,6206 N HAMLIN AVE,ES,41.99394233,-87.72404263,c(-87.724042633054,NORTH PARK
369,1.50163E+14,School,Sor Juana Ines de la Cruz,City of Chicago SD 299,Chicago,ELEMENTARY,13.3,13.3,52.8,52.6,45.2,44.5,77.2,76.6,Sor Juana,610589,4034 W 56TH ST,ES,41.791464,-87.72447,c(-87.7244704643672,WEST ELSDON
370,1.50163E+14,School,South Loop Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,17.5,17.4,49.2,42.4,44.6,32.2,70.7,63.2,South Loop,609990,1601 S DEARBORN ST,ES,41.85974068,-87.62834919,c(-87.6283491876244,NEAR SOUTH SIDE
371,1.50163E+14,School,South Shore Fine Arts Elem Sch,City of Chicago SD 299,Chicago,ELEMENTARY,38.8,NA,18.5,NA,9.9,NA,19.2,NA,South Shore Es,610530,1415 E 70TH ST,ES,41.76775511,-87.5903961,c(-87.5903961020516,SOUTH SHORE
372,1.50163E+14,School,Spencer Technology Acad Elem Sch,City of Chicago SD 299,Chicago,ELEMENTARY,60.3,38.7,4.4,0,5.6,8.3,14.9,NA,Spencer,610183,214 N LAVERGNE AVE,ES,41.8848764,-87.75044473,c(-87.7504447310499,AUSTIN
373,1.50163E+14,School,Spry Elem Community School,City of Chicago SD 299,Chicago,ELEMENTARY,34.3,33.9,11,11,1.5,1.6,12.5,13,Spry Es,610184,2400 S MARSHALL BLVD,ES,41.84774672,-87.70018447,c(-87.7001844721884,SOUTH LAWNDALE
374,1.50163E+14,School,Stagg Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,33.5,NA,3.7,7.7,1.6,0,18,NA,Stagg,610339,7424 S MORGAN ST,ES,41.75892473,-87.64921669,c(-87.6492166936114,ENGLEWOOD
375,1.50163E+14,School,Stevenson Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,31,30.8,27.9,27.5,13.8,13.9,43.5,42.6,Stevenson,610185,8010 S KOSTNER AVE,ES,41.74710688,-87.73166568,c(-87.7316656849208,ASHBURN
376,1.50163E+14,School,Stone Elem Scholastic Academy,City of Chicago SD 299,Chicago,ELEMENTARY,22.3,26.1,51.6,52.1,37.6,39.6,76.4,72.2,Stone,610191,6239 N LEAVITT ST,ES,41.99535905,-87.68479279,c(-87.6847927859335,WEST RIDGE
377,1.50163E+14,School,Stowe Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,35.8,37,4.1,4.9,2.9,3.4,24.8,24.4,Stowe,610192,3444 W WABANSIA AVE,ES,41.91193808,-87.7133175,c(-87.7133175007,HUMBOLDT PARK
378,1.50163E+14,School,Suder Montessori Elem Magnet Schl,City of Chicago SD 299,Chicago,ELEMENTARY,32.9,26.6,15.3,17.9,13.9,20.5,30.2,33.3,Suder,610405,2022 W WASHINGTON BLVD,ES,41.88321452,-87.67763611,c(-87.6776361122863,NEAR WEST SIDE
379,1.50163E+14,School,Sullivan Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,49.2,56,16.5,16.3,3,4.1,33.7,31.6,Sullivan,NA,NA,NA,NA,NA,c(NA,NA
380,1.50163E+14,School,Sumner Elem Math & Sci Comm Acad,City of Chicago SD 299,Chicago,ELEMENTARY,22.8,NA,33.3,NA,10,NA,38.2,NA,Sumner,610194,4320 W 5TH AVE,ES,41.87082838,-87.73352395,c(-87.7335239510755,WEST GARFIELD PARK
381,1.50163E+14,School,Sutherland Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,18.5,19.4,34.9,38.9,23.5,25,54,64.3,Sutherland,610195,10015 S LEAVITT ST,ES,41.71144507,-87.67682117,c(-87.6768211725656,BEVERLY
382,1.50163E+14,School,Swift Elem Specialty School,City of Chicago SD 299,Chicago,ELEMENTARY,31.2,35.4,23.4,13.8,13.6,3.3,43.8,43.5,Swift,610196,5900 N WINTHROP AVE,ES,41.98913906,-87.65829608,c(-87.6582960802554,EDGEWATER
383,1.50163E+14,School,Talcott Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,23,22.6,27.4,24.3,16.3,16.3,36.6,35.1,Talcott,610197,1840 W OHIO ST,ES,41.89240461,-87.67372272,c(-87.6737227247134,WEST TOWN
384,1.50163E+14,School,Talman Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,38.6,37.9,30.1,30,16,16.5,32.3,32.8,Talman,610249,5450 S TALMAN AVE,ES,41.79404805,-87.69026084,c(-87.6902608387575,GAGE PARK
385,1.50163E+14,School,Tanner Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,51.5,NA,9.7,NA,2.3,NA,19.4,NA,Tanner,610279,7350 S EVANS AVE,ES,41.76067264,-87.60679104,c(-87.606791035188,GREATER GRAND CROSSING
386,1.50163E+14,School,Tarkington Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,31.4,29.1,20.2,21.4,7.5,8.7,24.3,26,Tarkington,610396,3330 W 71ST ST,ES,41.76440708,-87.70644465,c(-87.7064446486183,CHICAGO LAWN
387,1.50163E+14,School,Taylor Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,44.8,43.3,18,19.8,10.8,11.5,25,25,Taylor,610198,9912 S AVENUE H,ES,41.71547038,-87.53297077,c(-87.5329707674937,EAST SIDE
388,1.50163E+14,School,Telpochcalli Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,42.7,44.4,10.8,7.8,9.4,7,31.8,28.6,Telpochcalli,609921,2832 W 24TH BLVD,ES,41.84794743,-87.69600588,c(-87.6960058794166,SOUTH LAWNDALE
389,1.50163E+14,School,Thorp  J N Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,44.7,48.3,10.7,13.2,6.3,5.3,6.3,0,Thorp J,610200,8914 S BUFFALO AVE,ES,41.73332424,-87.54427998,c(-87.5442799762555,SOUTH CHICAGO
390,1.50163E+14,School,Thorp  O A Elem Scholastic Acad,City of Chicago SD 299,Chicago,ELEMENTARY,18.3,18,56.5,52.3,37.9,31.8,61.6,53.1,Thorp O,610201,6024 W WARWICK AVE,ES,41.94857131,-87.77763129,c(-87.7776312947391,DUNNING
391,1.50163E+14,School,Till Elem Math & Science Academy,City of Chicago SD 299,Chicago,ELEMENTARY,55.9,NA,7.2,NA,1.1,NA,16.3,NA,Till,610065,6543 S CHAMPLAIN AVE,ES,41.77542384,-87.60935721,c(-87.6093572110117,WOODLAWN
392,1.50163E+14,School,Tilton Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,45.7,72.7,5.2,6.7,2.6,0,25,NA,Tilton,610202,223 N KEELER AVE,ES,41.88410224,-87.73056638,c(-87.7305663846436,WEST GARFIELD PARK
393,1.50163E+14,School,Turner-Drew Elem Language Academy,City of Chicago SD 299,Chicago,ELEMENTARY,26.1,NA,23.4,NA,11.7,NA,21.7,NA,Turner-Drew,609895,9300 S PRINCETON AVE,ES,41.72560922,-87.63016448,c(-87.6301644788476,ROSELAND
394,1.50163E+14,School,Twain Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,27.3,27.3,43.2,43.8,21.6,21.2,56.7,56.8,Twain,610206,5134 S LOTUS AVE,ES,41.7990464,-87.7589284,c(-87.7589284007224,GARFIELD RIDGE
395,1.50163E+14,School,Vanderpoel Elem Magnet School,City of Chicago SD 299,Chicago,ELEMENTARY,16.5,NA,28.8,NA,9.6,NA,33.9,NA,Vanderpoel,610207,9510 S PROSPECT AVE,ES,41.72081703,-87.66555862,c(-87.6655586213383,BEVERLY
396,1.50163E+14,School,Volta Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,28.9,34.8,7.8,5,8.3,4.3,30.5,26.1,Volta,610209,4950 N AVERS AVE,ES,41.971634,-87.72460522,c(-87.7246052240886,ALBANY PARK
397,1.50163E+14,School,Wacker Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,18,NA,16.3,NA,9.9,NA,38.3,NA,Wacker,610366,9746 S MORGAN ST,ES,41.7161933,-87.64804432,c(-87.648044323475,WASHINGTON HEIGHTS
398,1.50163E+14,School,Wadsworth Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,49.2,NA,11.5,NA,4.1,NA,24.2,NA,Wadsworth,610213,6650 S ELLIS AVE,ES,41.7734779,-87.60101811,c(-87.6010181127759,WOODLAWN
399,1.50163E+14,School,Walsh Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,41.2,41.3,19.7,18.8,11.7,10.9,32.6,35.3,Walsh,610216,2015 S PEORIA ST,ES,41.85483575,-87.64808617,c(-87.6480861741978,LOWER WEST SIDE
400,1.50163E+14,School,Ward  J Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,8.5,41.9,38.7,17.6,35.5,14.7,63.6,NA,Ward J,610217,2701 S SHIELDS AVE,ES,41.84398009,-87.63535579,c(-87.6353557886412,ARMOUR SQUARE
401,1.50163E+14,School,Ward  L Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,56,61.1,5.6,11.1,2.1,0,11.9,NA,Ward L,610133,646 N LAWNDALE AVE,ES,41.89323561,-87.71879729,c(-87.7187972930355,HUMBOLDT PARK
402,1.50163E+14,School,Warren Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,34.3,NA,22,NA,7.7,NA,30.4,NA,Warren,610218,9239 S JEFFERY AVE,ES,41.72676291,-87.57535255,c(-87.575352548793,CALUMET HEIGHTS
403,1.50163E+14,School,Washington  G Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,30.6,30.4,26.3,25.5,19.1,18.3,49.4,51.3,Washington G Es,610219,3611 E 114TH ST,ES,41.68813148,-87.5360153,c(-87.5360152991867,EAST SIDE
404,1.50163E+14,School,Washington  H Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,36.8,NA,16.7,NA,6,NA,16.4,NA,Washington H Es,610124,9130 S UNIVERSITY AVE,ES,41.72853414,-87.59625662,c(-87.5962566166771,BURNSIDE
405,1.50163E+14,School,Waters Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,19.6,31.8,52.3,29.1,47,16.7,82.5,62.5,Waters,610220,4540 N CAMPBELL AVE,ES,41.9643654,-87.69133251,c(-87.6913325114167,LINCOLN SQUARE
406,1.50163E+14,School,Webster Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,34.9,NA,18.5,NA,9.2,NA,15.4,NA,Webster,610221,4055 W ARTHINGTON ST,ES,41.86991586,-87.72752437,c(-87.7275243744019,WEST GARFIELD PARK
407,1.50163E+14,School,Wells Preparatory Elem Academy,City of Chicago SD 299,Chicago,ELEMENTARY,35,NA,30.9,NA,8.6,NA,18.2,NA,Wells Es,610110,249 E 37TH ST,ES,41.82735527,-87.61977966,c(-87.619779660404,DOUGLAS
408,1.50163E+14,School,Wentworth Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,48,60,5.3,13,4,0,17.3,NA,Wentworth,610223,1340 W 71ST ST,ES,41.7650759,-87.65820484,c(-87.6582048363058,WEST ENGLEWOOD
409,1.50163E+14,School,West Park Elem Academy,City of Chicago SD 299,Chicago,ELEMENTARY,38.2,35,20,20.6,3.9,4,27.2,29.8,West Park,610100,1425 N TRIPP AVE,ES,41.90690721,-87.7324431,c(-87.7324430956503,HUMBOLDT PARK
410,1.50163E+14,School,West Ridge Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,35.2,45,26.7,16.7,20.5,11.5,45.8,28.1,West Ridge,610542,6700 N WHIPPLE ST,ES,42.00295899,-87.70591721,c(-87.7059172053333,WEST RIDGE
411,1.50163E+14,School,Westcott Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,41.3,NA,10,NA,2.4,NA,25.5,NA,Westcott,610300,409 W 80TH ST,ES,41.74886823,-87.63475052,c(-87.6347505165275,CHATHAM
412,1.50163E+14,School,Whistler Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,31,NA,20.9,NA,12.2,NA,21.2,NA,Whistler,610225,11533 S ADA ST,ES,41.68390701,-87.65538382,c(-87.6553838211365,WEST PULLMAN
413,1.50163E+14,School,White Elem Career Academy,City of Chicago SD 299,Chicago,ELEMENTARY,54.8,NA,12.2,NA,1.3,NA,20,NA,White,610315,1136 W 122ND ST,ES,41.67230941,-87.65053854,c(-87.650538541879,WEST PULLMAN
414,1.50163E+14,School,Whitney Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,33.8,33.6,19.3,19,13.1,12.9,43.8,43.4,Whitney,610227,2815 S KOMENSKY AVE,ES,41.84008043,-87.72554564,c(-87.7255456427176,SOUTH LAWNDALE
415,1.50163E+14,School,Whittier Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,42.9,42.9,4.2,4.3,4.2,4.3,22.9,20.6,Whittier,610228,1900 W 23RD ST,ES,41.85048089,-87.67339165,c(-87.6733916543221,LOWER WEST SIDE
416,1.50163E+14,School,Wildwood Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,13.2,18.6,57.2,57.9,55.1,31.6,66.7,50,Wildwood,610230,6950 N HIAWATHA AVE,ES,42.00749067,-87.77834486,c(-87.7783448615314,FOREST GLEN
417,1.50163E+14,School,Woodlawn Elem Community School,City of Chicago SD 299,Chicago,ELEMENTARY,36.8,NA,33,NA,12.5,NA,48,NA,Woodlawn,609977,6657 S KIMBARK AVE,ES,41.77336553,-87.594392,c(-87.5943919955956,WOODLAWN
418,1.50163E+14,School,Woodson South Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,58.6,NA,7.8,NA,5.6,NA,15.5,NA,Woodson,610345,4414 S EVANS AVE,ES,41.8144988,-87.60841877,c(-87.6084187684696,GRAND BOULEVARD
419,1.50163E+14,School,Yates Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,40.3,44.5,15.3,14.8,8,8.1,23.7,24.5,Yates,610234,1839 N RICHMOND ST,ES,41.91503855,-87.70028031,c(-87.7002803125981,LOGAN SQUARE
420,1.50163E+14,School,Young Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,46.6,51.9,9.4,8.5,3,1.7,11.5,12.5,Young Es,610235,1434 N PARKSIDE AVE,ES,41.90679057,-87.76714285,c(-87.7671428460121,AUSTIN
421,1.50163E+14,School,Zapata Elem Academy,City of Chicago SD 299,Chicago,ELEMENTARY,32.2,32.2,31.3,31.3,20,20,52.5,52.5,Zapata,609973,2728 S KOSTNER AVE,ES,41.8413938,-87.73431332,c(-87.7343133238025,SOUTH LAWNDALE
